dataset,epoch,train_mse_norm
single-network CV2 sim-0,119,0.00030502034423989243
single-network CV2 sim-0,120,0.00032246192786260507
single-network CV2 sim-0,121,0.0005297344410791993
single-network CV2 sim-0,122,0.00027265017706668004
single-network CV2 sim-0,123,0.00013877177661925089
single-network CV2 sim-0,124,0.00012409659502736757
single-network CV2 sim-0,125,0.00018308808303117984
single-network CV2 sim-0,126,0.0006841165963123785
single-network CV2 sim-0,127,0.0015657134630600923
single-network CV2 sim-0,128,0.0024341991695109753
single-network CV2 sim-0,129,0.003184994903858751
single-network CV2 sim-0,130,0.010326059116050602
single-network CV2 sim-0,131,0.0033579815441044047
single-network CV2 sim-0,132,0.007456556375836953
single-network CV2 sim-0,133,0.01648329661693424
single-network CV2 sim-0,134,0.009756991628091783
single-network CV2 sim-0,135,0.0027076474623754622
single-network CV2 sim-0,136,0.000979068921878934
single-network CV2 sim-0,137,0.0004946829336404335
single-network CV2 sim-0,138,0.00030706995821674357
single-network CV2 sim-0,139,0.0002456619367876556
single-network CV2 sim-0,140,0.00027566300414036957
single-network CV2 sim-0,141,0.00024763249311945403
single-network CV2 sim-0,142,0.00021190688166825567
single-network CV2 sim-0,143,0.00038516241547768
single-network CV2 sim-0,144,0.0004061425235704519
single-network CV2 sim-0,145,0.0003274268161476357
single-network CV2 sim-0,146,0.00017998730654653628
single-network CV2 sim-0,147,0.00027973783944617024
single-network CV2 sim-0,148,0.00021818860986968502
single-network CV2 sim-0,149,0.00016759376376285218
single-network CV2 sim-0,150,0.0001890571296826238
single-network CV2 sim-0,151,0.000144040306986426
single-network CV2 sim-0,152,0.00015044085630506744
single-network CV2 sim-0,153,0.0001822367023123661
single-network CV2 sim-0,154,0.00019420875760260968
single-network CV2 sim-0,155,0.0002882061358832289
single-network CV2 sim-0,156,0.00012447461595002096
single-network CV2 sim-0,157,8.972803861979628e-05
single-network CV2 sim-0,158,0.00023931826544867362
single-network CV2 sim-0,159,0.00013451386694214308
single-network CV2 sim-0,160,0.00015045012369228062
single-network CV2 sim-0,161,0.00013720449060201646
single-network CV2 sim-0,162,0.00015756191969558132
single-network CV2 sim-0,163,0.0001292024116992252
