epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw
1,0.675013721883297,0.5216203746800335,4.5407097372392505e-05
2,0.3509089697897434,0.38966390939005185,3.391281890507039e-05
3,0.2760042303055525,0.3132210974349928,2.653140974451124e-05
4,0.23317672856152058,0.2896048667760205,2.5348202109577265e-05
5,0.2066338925808668,0.23828950024658513,1.977504017121127e-05
6,0.18817152459174394,0.2501966920498446,2.2456346560899485e-05
7,0.1749252440780401,0.2058061516529232,1.743241403150647e-05
8,0.16407346706837417,0.2056024786327473,1.8010672199306057e-05
9,0.15854850355535746,0.19580368405446918,1.7235109726154253e-05
10,0.1502162160165608,0.18853104003724588,1.6853228914057787e-05
11,0.14475367634557187,0.20203348532555557,1.8860177646402948e-05
12,0.14067218931391834,0.16111764082129246,1.4425742456580792e-05
13,0.1363538410887122,0.15468435665270733,1.388671637916734e-05
14,0.1317854193598032,0.212454758958735,2.1073687991956035e-05
15,0.13144712567329406,0.1661257552420623,1.5631549528800834e-05
16,0.12858438033610584,0.17617675726465315,1.666419129435921e-05
17,0.12652711076661943,0.1564197096356839,1.4682888813730885e-05
18,0.12713012978434562,0.15862158004496812,1.4780092908807625e-05
19,0.1226829618960619,0.1515732526392749,1.4247718430791106e-05
20,0.12115649227052927,0.16042974217141448,1.5324421873499873e-05
21,0.11859406474046409,0.1513309084657331,1.3862911813170082e-05
22,0.12039793504402041,0.14155260727195929,1.2757017871479985e-05
23,0.12018694795668125,0.15306500973379855,1.4274602704344241e-05
24,0.1169016251526773,0.14619688068166697,1.326738020379404e-05
25,0.11829405750147998,0.13475647029321866,1.222382636485e-05
26,0.11804036257788539,0.14339562842356657,1.350349259855612e-05
27,0.11611399338580668,0.14886654873563865,1.3603864358157958e-05
28,0.1168423850554973,0.1384234623940837,1.282527628474019e-05
29,0.11658239806070923,0.16115128886380053,1.5086963287149106e-05
30,0.11592439053580166,0.14924486704671716,1.3942944022869538e-05
31,0.11491777375340462,0.15310154689588043,1.4156253163449671e-05
32,0.11500525452196599,0.15032985281270528,1.4084530116029911e-05
33,0.11163587209768594,0.13978975677328837,1.2630527230495831e-05
34,0.113958107708022,0.12798495125299789,1.1704597502761452e-05
35,0.11340563308447599,0.13002955532192095,1.1958300020566377e-05
36,0.11373104230500758,0.14153363212442674,1.3337707363949964e-05
37,0.11188825388439,0.14699566256497495,1.3849921590278537e-05
38,0.11077877080999315,0.13078195960120742,1.1949273641871278e-05
39,0.11284178503789008,0.12405054575790461,1.1342037091888017e-05
40,0.11187592189759016,0.1274403740242928,1.1759544208980747e-05
41,0.1112510047480464,0.12961979662872733,1.1895616173259872e-05
42,0.11126096755266189,0.13290378077751688,1.2409705592271367e-05
43,0.11152745821513235,0.13338940668606117,1.2179614822350859e-05
44,0.11033628542907536,0.12680909406797258,1.1741743461131187e-05
45,0.1087039728462696,0.12926719329290637,1.1695538527974153e-05
46,0.10947229592129588,0.1441096002845513,1.3205956379442617e-05
47,0.10958086047321558,0.13586151485601977,1.223495226580446e-05
48,0.10883920748718083,0.13328161680155448,1.2274965733694312e-05
49,0.10515324665233493,0.14680333557527717,1.3398861585555208e-05
50,0.10825741495005786,0.13070607670422532,1.2209910478745126e-05
