split,source,used,p_ratio_r2,p_ratio_pearson,p_ratio_mse,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,latent_total_displacement,latent_mean_step
val,combined,40,0.3056175346300506,0.6378399453774716,0.08588896203155572,7.561582463040395e-05,0.00034425983321852984,0.00021101806578371907,0.6272711202151179,3.3747051894664764,0.04245023221126758
val,dePablo,20,0.6599479814197868,0.8611380351042858,0.024975788296468644,4.446455300239904e-05,0.0003198854057700373,0.00024186821210605557,0.7553357093298094,3.449035179615021,0.04334146462148056
val,Reid,20,0.15480921015377647,0.5380440666961862,0.1468021357666428,0.00010676709625840885,0.0003686342606670223,0.00018016791946138256,0.49920653110042634,3.300375199317932,0.0415589998010546
test,combined,118,0.21928657773400095,0.5573051448985086,0.08642156296539029,6.37145251056285e-05,0.0003255718339321409,0.00020987178301103254,0.6597143357875868,3.3281265335567927,0.04182445630944192
test,dePablo,60,0.38766441564223875,0.6874779106096979,0.050683614573433816,4.090895467925293e-05,0.0003089306905167177,0.00022380426138018567,0.729096126213977,3.2814635237058005,0.041248986905751135
test,Reid,58,0.10359153379174679,0.45377755657472985,0.12339185440534531,8.730649451222392e-05,0.0003427868098791303,0.00019545887435328793,0.5879400698292523,3.3763986127129915,0.04241976948567377
