split,sim_idx,source,target_index,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,latent_total_displacement,latent_mean_step
val,0,dePablo,80,-0.0725817634357481,0.03780851857774935,1.4760117664991412e-05,0.00029029633151367307,0.00026311088004149497,0.9063527557154208,3.176534652709961,0.03974704365245998
val,1,dePablo,80,-0.5091078472180928,-0.46599377734172875,3.2386778912041336e-05,0.00031811289954930544,0.0003248250868637115,1.0211000161386592,4.28538703918457,0.05366727095097303
val,2,dePablo,80,-0.1795025221330039,-0.019619532098667302,3.123230271739885e-05,0.0002631778479553759,0.00029381641070358455,1.1164177113926537,3.3317131996154785,0.041700109001249076
val,3,dePablo,80,-0.5512334367070764,-0.44276479084573206,6.190899148350582e-05,0.00034473687992431223,0.000324456108501181,0.9411702878218776,4.235635757446289,0.0532230909448117
val,4,dePablo,80,-0.4984271597908435,-0.36202802737557616,3.780788028961979e-05,0.00035011902218684554,0.0002875465143006295,0.8212821814267965,4.331282615661621,0.05424139583483338
val,5,dePablo,80,-0.5957000524383849,-0.5239920928709929,6.061385647626594e-05,0.00041609432082623243,0.0003522897604852915,0.8466584205853972,4.152793884277344,0.05234041097573936
val,6,dePablo,80,-0.14512780249498386,-0.2757060634453219,7.274823292391375e-05,0.00033378208172507584,0.00013182862312532961,0.3949541642379475,3.2036025524139404,0.04004882522858679
val,7,dePablo,80,-0.49598942265315116,-0.3325956270292208,5.771865107817575e-05,0.00040351576171815395,0.0003246290725655854,0.8045015916685083,3.8078010082244873,0.04800692764110863
val,8,dePablo,80,0.3878576000787828,0.3486673142689856,1.605773468327243e-05,0.00029627286130562425,0.00018877920228987932,0.6371802042818279,3.2517812252044678,0.04089711988344789
val,9,dePablo,80,0.1604269225995946,-0.3700672778061927,0.0001259874552488327,0.00030109568615444005,9.581243648426607e-05,0.31821258453739953,2.810704469680786,0.035726058995351195
val,10,dePablo,80,0.05541418102429324,0.13733683540273797,9.684522410680074e-06,0.000282045773928985,0.00023946535657159984,0.8490301174726826,2.9663658142089844,0.03720538914203644
val,11,dePablo,80,-0.4708180177331594,-0.42774649329374426,8.137419354170561e-05,0.00035531772300601006,0.00033290594001300633,0.9369246689880858,3.69254469871521,0.0465762950014323
val,12,dePablo,80,-0.04537750897248438,-0.13338579195172073,3.966233634855598e-05,0.0002900392864830792,0.00015298780635930598,0.52747270279963,3.0494773387908936,0.038184577925130726
