epoch,train_mse_norm,val_mse_norm
1,0.7436810464039445,0.8526083102945832
2,0.5798281676322222,0.6823830417753745
3,0.5015657580271363,0.5863317223688267
4,0.46830691434442995,0.5371277167330504
5,0.40660065434873105,0.4453652121926665
6,0.341981525272131,0.3880379708494758
7,0.32446618845686315,0.375740304676811
8,0.30878773719072344,0.37099943749543385
9,0.315333715993911,0.3664437979313864
10,0.30828206279315057,0.36234221278869744
11,0.3060659131221473,0.3603035186723789
12,0.3069791045412421,0.36184243570500135
13,0.30801855387166144,0.36160698767560573
14,0.30441492510028184,0.3633095835206067
15,0.307221667971462,0.36019295412383234
16,0.30428519322536884,0.35463026228182104
17,0.30626861765980723,0.35920145831042877
18,0.30447623680345715,0.3579416011457694
19,0.3105985900200903,0.3572154323298085
20,0.31082026853226125,0.3566658814463828
21,0.3062008396117017,0.359871434725945
22,0.30354676506482065,0.35942066094732306
23,0.3088323201611638,0.35603011137041124
24,0.30130051433574406,0.3536854146284601
25,0.30324289967305956,0.35740011623986406
26,0.3052782085631043,0.35874902144919135
27,0.3026655396167189,0.35389779377123826
28,0.2983365658298135,0.36421317533515735
29,0.29979386458173396,0.3577507367853365
30,0.30052805718034503,0.361999802419359
31,0.2994537984021008,0.36279631741788704
32,0.2961842409987003,0.36193554944877926
33,0.2953563562594354,0.35441717024261554
34,0.2949402452632785,0.3625499981272523
35,0.2957631919812411,0.35820850950827476
36,0.29047646855004133,0.3661647508788353
37,0.2925856360048056,0.36393002242302186
38,0.29034921422600746,0.3606922806787132
39,0.28616531380452215,0.3591664518748213
40,0.2888495627976954,0.36565492442485636
41,0.2860597783047706,0.3556804500306548
42,0.2856292925449088,0.36511405847794026
43,0.2881586779654026,0.3622564262717807
44,0.2820092665217817,0.3621069770282032
45,0.28166150372475385,0.3732691944078159
46,0.28608251115772876,0.36508594019892904
47,0.27816609904170037,0.3666815460837682
48,0.2832448151241988,0.3851814175923732
49,0.2741539307218045,0.36996108815031414
50,0.2774435839615762,0.36187213722251077
51,0.2810882985405624,0.38005595402299686
52,0.27932955739088355,0.3692519971116035
53,0.2736699848622084,0.3672849282722035
54,0.27349146755412224,0.3714947444636025
55,0.27605189678259195,0.3880854381373585
56,0.26898253069259226,0.3846847557161227
57,0.264709070562385,0.37933512836391975
58,0.26481632692739365,0.3876719963033173
59,0.2666940979473293,0.3896171324863585
60,0.26299260314553974,0.3809507567979281
61,0.2599065662920475,0.39225329187462793
62,0.2574759184382856,0.3953954182670381
63,0.2583528572600335,0.413985078939779
64,0.2608782322704792,0.3971116750866756
65,0.26081997031345966,0.39481262729716593
66,0.25763592070434244,0.406432106832511
67,0.255800999738276,0.3952852590584048
68,0.25282139834947887,0.40403599349122893
69,0.24967968977987767,0.4027593452881599
70,0.25497396001592276,0.39630137466386023
71,0.251248714691028,0.4025915665897011
72,0.24526009617373348,0.3978493496279874
73,0.24788250870071352,0.42326317984431766
74,0.2500278492085636,0.4262578205945482
75,0.2446089370828122,0.42479588521259054
76,0.24517615417018532,0.4056537069355055
77,0.24262316894717514,0.40095048676081996
78,0.24330660089850425,0.42050167748293604
79,0.2357953015062958,0.41977078570800713
80,0.23456056370865552,0.42672364051391765
81,0.23429357632994652,0.426043759527198
82,0.2359792588884011,0.45119819163594654
83,0.23263447435572743,0.4332883730327088
84,0.23311203284189105,0.4216694054832103
85,0.23006339076440782,0.4291426461071746
86,0.2299743284098804,0.4261322477449451
87,0.23024763165507467,0.42477361796096735
88,0.2305259202606976,0.42088444722471663
89,0.22693187854252755,0.43622998497859206
90,0.22244905669242143,0.4375760746352598
91,0.22553836749866604,0.4169323912546022
92,0.2222632338758558,0.41541194387312796
93,0.22198747554793954,0.441216335548015
94,0.22125129661988466,0.4489756199718494
95,0.2152750930469483,0.43107704811227354
96,0.22291778319515287,0.43085458153292205
97,0.22344346539117396,0.4306609224020163
98,0.21670225590467454,0.45452980161310164
99,0.21506460244767367,0.46277277165228703
100,0.2121705043548718,0.47261284989126723
